date,feature_index,NO2
2020-08-13T00:00:00.000Z,0,3.6243732286796636E-5
2020-08-29T00:00:00.000Z,0,2.8076338237172293E-5
2020-08-27T00:00:00.000Z,0,2.4027945487757408E-5
2020-08-23T00:00:00.000Z,0,3.9293940842201535E-5
2020-08-25T00:00:00.000Z,0,2.3780588581498057E-5
2020-08-24T00:00:00.000Z,0,2.130648176392112E-5
2020-08-28T00:00:00.000Z,0,
2020-08-22T00:00:00.000Z,0,1.9190256612741257E-5
2020-08-26T00:00:00.000Z,0,2.2954499205038053E-5
2020-09-12T00:00:00.000Z,0,3.089148354514951E-5
2020-09-08T00:00:00.000Z,0,2.777337151980776E-5
2020-09-14T00:00:00.000Z,0,2.5126894895168205E-5
2020-09-13T00:00:00.000Z,0,3.76290938999903E-5
2020-09-07T00:00:00.000Z,0,2.8223446601519493E-5
2020-09-10T00:00:00.000Z,0,3.3854578630000886E-5
2020-09-11T00:00:00.000Z,0,2.8059766216464205E-5
2020-09-09T00:00:00.000Z,0,2.881034983407257E-5
2020-09-27T00:00:00.000Z,0,1.897962715702306E-5
2020-09-30T00:00:00.000Z,0,2.284215770487208E-5
2020-09-23T00:00:00.000Z,0,2.5786997217177747E-5
2020-09-24T00:00:00.000Z,0,3.255301096162709E-5
2020-09-25T00:00:00.000Z,0,2.8749713822305368E-5
2020-09-26T00:00:00.000Z,0,3.0040458828547605E-5
2020-09-28T00:00:00.000Z,0,2.6296092853174612E-5
2020-09-29T00:00:00.000Z,0,2.7350161547344343E-5
2020-10-17T00:00:00.000Z,0,1.9233645161875756E-5
2020-10-22T00:00:00.000Z,0,6.139635437508472E-5
2020-10-21T00:00:00.000Z,0,
2020-10-18T00:00:00.000Z,0,
2020-10-19T00:00:00.000Z,0,
2020-10-20T00:00:00.000Z,0,
2020-10-23T00:00:00.000Z,0,5.723709364247043E-5
2020-10-24T00:00:00.000Z,0,4.575463468167332E-5
2020-11-04T00:00:00.000Z,0,
2020-11-08T00:00:00.000Z,0,3.0146535989063394E-5
2020-11-02T00:00:00.000Z,0,
2020-11-06T00:00:00.000Z,0,3.56254541447225E-5
2020-11-03T00:00:00.000Z,0,
2020-11-07T00:00:00.000Z,0,4.7439548455128844E-5
2020-11-09T00:00:00.000Z,0,5.456761768333048E-5
2020-11-05T00:00:00.000Z,0,
2020-11-19T00:00:00.000Z,0,2.2170776203113617E-5
2020-11-18T00:00:00.000Z,0,1.7903116388749497E-5
2020-11-20T00:00:00.000Z,0,2.7923040761379525E-5
2020-11-21T00:00:00.000Z,0,
2020-11-22T00:00:00.000Z,0,
2020-11-25T00:00:00.000Z,0,
2020-11-24T00:00:00.000Z,0,4.0627652197144926E-5
2020-11-23T00:00:00.000Z,0,
2020-12-12T00:00:00.000Z,0,
2020-12-15T00:00:00.000Z,0,
2020-12-19T00:00:00.000Z,0,
2020-12-18T00:00:00.000Z,0,
2020-12-13T00:00:00.000Z,0,
2020-12-17T00:00:00.000Z,0,
2020-12-14T00:00:00.000Z,0,
2020-12-16T00:00:00.000Z,0,
2020-12-29T00:00:00.000Z,0,
2021-01-02T00:00:00.000Z,0,2.74632348009618E-5
2020-12-30T00:00:00.000Z,0,
2021-01-01T00:00:00.000Z,0,3.23994809150463E-5
2021-01-03T00:00:00.000Z,0,
2021-01-04T00:00:00.000Z,0,3.5025255783693865E-5
2020-12-28T00:00:00.000Z,0,
2020-12-31T00:00:00.000Z,0,6.090384704293683E-5
2021-01-13T00:00:00.000Z,0,
2021-01-15T00:00:00.000Z,0,
2021-01-18T00:00:00.000Z,0,
2021-01-14T00:00:00.000Z,0,
2021-01-17T00:00:00.000Z,0,
2021-01-20T00:00:00.000Z,0,
2021-01-16T00:00:00.000Z,0,
2021-01-19T00:00:00.000Z,0,
2021-02-01T00:00:00.000Z,0,5.1620665544760413E-5
2021-01-29T00:00:00.000Z,0,
2021-02-03T00:00:00.000Z,0,
2021-02-05T00:00:00.000Z,0,
2021-01-30T00:00:00.000Z,0,
2021-01-31T00:00:00.000Z,0,
2021-02-04T00:00:00.000Z,0,7.062973600113764E-5
2021-02-02T00:00:00.000Z,0,1.285434846067801E-4
2021-02-13T00:00:00.000Z,0,3.681058594586582E-5
2021-02-11T00:00:00.000Z,0,
2021-02-08T00:00:00.000Z,0,
2021-02-06T00:00:00.000Z,0,
2021-02-12T00:00:00.000Z,0,5.8506640925770625E-5
2021-02-07T00:00:00.000Z,0,3.9465118425141556E-5
2021-02-09T00:00:00.000Z,0,
2021-02-10T00:00:00.000Z,0,
2021-04-04T00:00:00.000Z,0,
2021-04-07T00:00:00.000Z,0,
2021-04-10T00:00:00.000Z,0,
2021-04-08T00:00:00.000Z,0,
2021-04-05T00:00:00.000Z,0,6.172612878193225E-5
2021-04-06T00:00:00.000Z,0,
2021-04-09T00:00:00.000Z,0,3.401978847250575E-5
2021-04-03T00:00:00.000Z,0,4.856052367228715E-5
2021-03-18T00:00:00.000Z,0,9.644727025362145E-5
2021-03-21T00:00:00.000Z,0,4.440162692017938E-5
